kepid,kepler_name,period,t0,duration_hrs,disposition,depth_ppm,duration_days
8544996,Kepler-723 b,4.082274889,169.6375652,3.23015,CONFIRMED,17859.2,0.13458958333333335
8552202,,3.886655224,169.73814,3.1646,CANDIDATE,581.6,0.13185833333333333
8150320,Kepler-55 c,42.1406089,139.0604,5.083,CONFIRMED,895.5,0.21179166666666668
8150320,Kepler-55 e,4.617490562,135.04909,2.2618,CONFIRMED,575.8,0.09424166666666667
8150320,Kepler-55 f,10.19849255,137.92067,2.4283,CONFIRMED,634.1,0.10117916666666667
8180063,,5.795063956,172.697467,3.2496,FALSE POSITIVE,1692.9,0.1354
8226994,Kepler-250 c,7.15681552,174.13511,2.5882,CONFIRMED,867.0,0.10784166666666667
8226994,Kepler-250 d,17.64830851,133.54533,2.0873,CONFIRMED,763.3,0.08697083333333333
8226994,Kepler-250 b,4.14810719,133.3881,2.535,CONFIRMED,175.2,0.10562500000000001
8247638,Kepler-251 c,16.51410989,176.11686,4.1575,CONFIRMED,973.5,0.17322916666666666
8247638,Kepler-251 d,30.1329298,190.38336,5.172,CONFIRMED,1015.8,0.2155
8247638,Kepler-251 b,4.79090809,136.31106,2.603,CONFIRMED,251.3,0.10845833333333334
11086270,Kepler-110 c,31.71981013,142.82083,4.819,CONFIRMED,363.4,0.20079166666666667
8247638,Kepler-251 e,99.6415962,198.68664,4.448,CONFIRMED,952.5,0.18533333333333335
8255887,Kepler-720 b,4.708326451,171.446507,3.16114,CONFIRMED,7912.7,0.13171416666666666
8256049,,16.37198661,172.75926,3.8449,FALSE POSITIVE,4147.6,0.16020416666666668
8414716,Kepler-721 b,5.392026903,171.72707,2.9804,CONFIRMED,1151.4,0.12418333333333333
9140402,,2.494170338,170.852848,1.1221,CANDIDATE,863.7,0.04675416666666667
9141746,Kepler-730 b,6.491682808,174.633553,4.301,CONFIRMED,7163.3,0.17920833333333333
9159275,,3.044770796,172.01916,10.0134,FALSE POSITIVE,1695.0,0.417225
9166862,Kepler-731 b,3.855603916,170.6787843,3.2179,CONFIRMED,16652.7,0.13407916666666667
9166870,,3.855599139,170.67957,3.183,FALSE POSITIVE,1030.9,0.132625
11449844,Kepler-468 b,38.47876629,151.852812,5.04169,CONFIRMED,23530.0,0.21007041666666668
8605074,,37.601661282,194.713383,8.30604,FALSE POSITIVE,59130.1,0.346085
8628973,Kepler-724 b,3.314947362,171.313058,1.8007,CONFIRMED,1398.2,0.07502916666666666
8655354,,6.71969089,173.35776,3.0231,FALSE POSITIVE,969.7,0.1259625
8672910,Kepler-725 b,39.6431552,206.596798,6.5292,CONFIRMED,15663.8,0.27205
8686150,,51.42598578,173.535933,16.9422,FALSE POSITIVE,66067.7,0.705925
8689031,Kepler-726 b,21.80451611,190.49737,3.4097,CONFIRMED,1144.9,0.14207083333333334
8689373,Kepler-253 c,10.28194593,175.33988,3.4366,CONFIRMED,1110.7,0.14319166666666666
8689373,Kepler-253 d,18.11993039,182.61535,4.2309,CONFIRMED,1506.9,0.1762875
8689373,Kepler-253 b,3.78402867,133.28133,1.9012,CONFIRMED,426.1,0.07921666666666667
